Player,Nation,Pos,Team,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG
Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,27,8,6,486,0,0,0,0,0,0.3,0.2
Matías Dituro,ar ARG,GK,Elche,38,5,5,450,0,0,0,1,0,0,0
Djené,tg TOG,DF,Getafe,33,8,7,534,0,0,0,2,0,0,0
Marko Dmitrović,rs SRB,GK,Espanyol,33,8,8,720,0,0,0,0,0,0,0
Tyrhys Dolan,eng ENG,"FW,MF",Espanyol,23,8,7,566,0,1,0,0,0,0.4,1.6
Marc Domenech,es ESP,"FW,MF",Mallorca,19,6,2,206,0,1,0,0,0,0.1,0.4
Carlos Dominguez,es ESP,DF,Celta Vigo,24,4,4,360,0,0,0,1,0,0,0.1
John Donald,es ESP,"MF,DF",Elche,25,5,2,161,1,0,0,1,0,0.3,0
Domingos Duarte,pt POR,DF,Getafe,30,6,6,495,0,0,0,0,0,0.3,0
Pablo Durán,es ESP,"FW,MF",Celta Vigo,24,7,4,327,0,0,0,0,0,0.5,0.1
Hugo Duro,es ESP,FW,Valencia,25,8,5,430,3,0,0,0,0,2,0.3
Ovie Ejaria,eng ENG,MF,Oviedo,27,3,1,96,0,0,0,0,0,0,0.1
Chidera Ejuke,ng NGA,"FW,MF",Sevilla,27,5,3,183,0,1,0,0,0,0.1,0.8
Unai Elgezabal,es ESP,DF,Levante,32,6,6,540,0,0,0,1,0,0,0.2
Aritz Elustondo,es ESP,DF,Real Sociedad,31,3,1,95,0,0,0,0,0,0,0
Aarón Escandell,es ESP,GK,Oviedo,30,8,8,720,0,0,0,0,0,0,0
Carlos Espí,es ESP,FW,Levante,20,2,0,23,0,0,0,0,0,0,0
Alfonso Espino,uy URU,"DF,FW",Rayo Vallecano,33,5,1,105,1,0,0,0,0,0.4,0
Marco Esteban,es ESP,DF,Oviedo,19,1,0,45,0,0,0,0,0,0,0
Edu Expósito,es ESP,MF,Espanyol,29,7,6,495,0,2,0,2,0,0.5,2.4
Etta Eyong,cm CMR,FW,Villarreal,21,3,3,256,1,2,0,0,0,0.9,0.7
Etta Eyong,cm CMR,FW,Levante,21,5,5,381,4,1,0,1,0,3.3,0.5
Abde Ezzalzouli,ma MAR,FW,Betis,23,4,3,254,2,1,0,0,0,1.5,1.2
Omar Falah,es ESP,"DF,MF",Oviedo,22,1,0,14,0,0,0,0,0,0,0
Aleix Febas,es ESP,MF,Elche,29,8,8,720,0,0,0,1,0,0.5,0.4
Luiz Felipe,it ITA,DF,Rayo Vallecano,28,4,4,219,0,0,0,1,0,0.1,0
Kiko Femenía,es ESP,"DF,FW",Getafe,34,5,4,381,0,0,0,0,0,0,0.1
Manu Fernández,es ESP,DF,Celta Vigo,24,5,4,330,0,0,0,0,0,0,0
Pedro Fernandez,es ESP,MF,Barcelona,17,1,1,45,0,0,0,0,0,0,0.1
Pelayo Fernandez,es ESP,DF,Rayo Vallecano,22,1,0,45,0,0,0,0,0,0,0
Roberto Férnandez,es ESP,"FW,MF",Espanyol,23,8,6,535,1,2,0,0,0,1.7,1.7
Junior Firpo,do DOM,DF,Betis,29,4,4,319,0,1,0,2,0,0.3,0.4
Álex Forés,es ESP,FW,Oviedo,24,4,1,101,0,0,0,0,0,0.5,0
Pablo Fornals,es ESP,MF,Betis,29,8,8,670,2,2,0,1,0,0.8,1.5
Héctor Fort,es ESP,DF,Elche,19,3,1,92,0,0,0,0,0,0.3,0
Dimitri Foulquier,fr FRA,DF,Valencia,32,7,7,630,0,0,0,0,0,0,0.1
Juan Foyth,ar ARG,DF,Villarreal,27,5,5,360,0,0,0,0,0,0.1,0
Alejandro Francés,es ESP,DF,Girona,23,5,3,258,0,0,0,1,1,0,0.4
Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,28,7,7,554,2,1,0,0,0,2.5,1.4
Javi Galán,es ESP,DF,Atlético Madrid,30,5,1,134,0,0,0,0,0,0,0.1
Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,32,7,6,460,0,0,0,2,0,0.1,0.5
Conor Gallagher,eng ENG,MF,Atlético Madrid,25,8,2,244,1,0,0,1,0,0.5,0.4
Facundo Garcés,my MAS,DF,Alavés,26,6,6,540,0,0,0,2,0,0.1,0
Álvaro García,es ESP,"MF,FW",Rayo Vallecano,32,8,7,577,2,1,0,1,0,2.2,2
Eric García,es ESP,DF,Barcelona,24,8,6,592,1,0,0,0,0,1.4,0.5
Fran Garcia,es ESP,"DF,MF",Real Madrid,26,2,1,113,0,0,0,0,0,0,0
Gonzalo García,es ESP,"FW,MF",Real Madrid,21,5,1,93,0,0,0,0,0,0.1,0.2
Joan García,es ESP,GK,Barcelona,24,6,6,540,0,0,0,0,0,0,0
Pablo Garcia,es ESP,FW,Betis,19,5,1,182,0,0,0,1,0,0.9,0
Rubén García,es ESP,"MF,FW",Osasuna,32,6,2,239,0,1,0,0,0,0.1,0.6
Víctor García,es ESP,"MF,DF",Levante,28,4,1,92,0,0,0,0,0,0,0
Gavi,es ESP,"MF,DF",Barcelona,21,2,0,67,0,1,0,0,0,0,0.2
Paulo Gazzaniga,ar ARG,GK,Girona,33,7,7,582,0,0,0,0,1,0,0
Mourad El Ghezouani,ma MAR,FW,Elche,27,2,0,50,0,0,0,0,0,0.1,0
Bryan Gil,es ESP,"FW,MF",Girona,24,5,1,145,0,1,0,1,0,0.2,0.2
Moi Gómez,es ESP,MF,Osasuna,31,6,5,402,0,0,0,1,0,0.1,0.1
Sergio Gómez,es ESP,DF,Real Sociedad,25,8,5,478,0,0,0,0,0,0.1,0.6
Unai Gómez,es ESP,"FW,MF",Athletic Club,22,4,1,87,0,0,0,0,0,0,0.1
Valentín Gómez,ar ARG,DF,Betis,22,6,3,315,0,0,0,1,0,0.4,0
Nicolás González,ar ARG,MF,Atlético Madrid,27,5,4,358,1,0,0,1,0,0.7,1.2
Urko González,es ESP,MF,Espanyol,24,6,3,323,0,0,0,0,0,0.1,0.1
Urko González,es ESP,MF,Real Sociedad,24,1,0,11,0,0,0,0,0,0,0
Andoni Gorosabel,es ESP,DF,Athletic Club,29,3,1,69,0,0,0,0,0,0,0.1
Jon Gorrotxategi,es ESP,MF,Real Sociedad,23,7,6,516,0,0,0,2,0,0.1,0.2
Mikel Goti,es ESP,MF,Real Sociedad,23,1,1,56,0,0,0,0,0,0.1,0
Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,34,8,3,314,1,0,0,0,0,1.2,0.2
Nemanja Gudelj,rs SRB,MF,Sevilla,33,7,5,437,0,0,0,2,0,0.3,0.1
Gonçalo Guedes,pt POR,"MF,FW",Real Sociedad,28,8,3,268,0,0,0,0,0,0.3,0.2
Javier Guerra,es ESP,MF,Valencia,22,8,6,473,0,2,0,1,0,0.3,1.2
Daniel Guerrero,es ESP,MF,Betis,20,1,0,1,0,0,0,0,0,0,0
Ander Guevara,es ESP,MF,Alavés,28,5,1,176,1,0,0,0,0,0.1,0
Pape Gueye,sn SEN,MF,Villarreal,26,8,7,579,2,1,0,3,0,0.8,0.9
Arda Güler,tr TUR,"MF,FW",Real Madrid,20,8,7,561,3,3,0,1,0,2.3,2.6
Gerard Gumbau,es ESP,"MF,FW",Rayo Vallecano,30,4,0,64,0,0,0,0,0,0,0
Jon Guridi,es ESP,"MF,FW",Alavés,30,5,5,291,0,0,0,0,0,0.9,0
Gorka Guruzeta,es ESP,"FW,MF",Athletic Club,29,6,4,312,0,0,0,0,0,1.4,0.1
Dávid Hancko,sk SVK,DF,Atlético Madrid,27,8,7,610,0,1,0,0,0,0.5,0.3
